Time,Channel A
(ms),(mV)

0.00000000,7.38547900
0.00512000,-1.89214800
0.01024000,-3.74767300
0.01536000,-1.89214800
0.02048000,-1.89214800
0.02560000,-3.74767300
0.03072000,1.81890300
0.03584000,9.24100500
0.04096000,-0.03662221
0.04608000,1.81890300
0.05120000,-1.89214800
0.05632000,-11.16978000
0.06144000,-3.74767300
0.06656000,1.81890300
0.07168000,1.81890300
0.07680000,5.52995400
0.08192000,-3.74767300
0.08704000,-1.89214800
0.09216000,-0.03662221
0.09728000,-1.89214800
0.10240000,3.67442800
0.10752000,3.67442800
0.11264000,1.81890300
0.11776000,3.67442800
0.12288000,-3.74767300
0.12800000,-7.45872400
0.13312000,-1.89214800
0.13824000,-3.74767300
0.14336000,5.52995400
0.14848000,3.67442800
0.15360000,-0.03662221
0.15872000,-0.03662221
0.16384000,-5.60319800
0.16896000,-0.03662221
0.17408000,3.67442800
0.17920000,5.52995400
0.18432000,5.52995400
0.18944000,-0.03662221
0.19456000,1.81890300
0.19968000,-7.45872400
0.20480000,-13.02530000
0.20992000,1.81890300
0.21504000,1.81890300
0.22016000,-0.03662221
0.22528000,5.52995400
0.23040000,-0.03662221
0.23552000,-1.89214800
0.24064000,-5.60319800
0.24576000,-1.89214800
0.25088000,5.52995400
0.25600000,5.52995400
0.26112000,5.52995400
0.26624000,1.81890300
0.27136000,-3.74767300
0.27648000,-5.60319800
0.28160000,-1.89214800
0.28672000,1.81890300
0.29184000,3.67442800
0.29696000,5.52995400
0.30208000,-1.89214800
0.30720000,1.81890300
0.31232000,-3.74767300
0.31744000,-1.89214800
0.32256000,-0.03662221
0.32768000,1.81890300
0.33280000,7.38547900
0.33792000,-5.60319800
0.34304000,-1.89214800
0.34816000,-3.74767300
0.35328000,-3.74767300
0.35840000,1.81890300
0.36352000,1.81890300
0.36864000,5.52995400
0.37376000,-0.03662221
0.37888000,-0.03662221
0.38400000,-5.60319800
0.38912000,-1.89214800
0.39424000,1.81890300
0.39936000,9.24100500
0.40448000,1.81890300
